	Year	Series	Value
Tonga	2005	"Percentage of male and female intentional homicide victims, Male"	7.897
Tonga	2005	"Percentage of male and female intentional homicide victims, Female"	0
Tonga	2010	"Intentional homicide rates per 100,000"	0.9617
Tonga	2010	"Percentage of male and female intentional homicide victims, Male"	1.9183
Tonga	2010	"Percentage of male and female intentional homicide victims, Female"	0
Tonga	2012	"Intentional homicide rates per 100,000"	0.9734
Tonga	2012	"Percentage of male and female intentional homicide victims, Male"	0
Tonga	2012	"Percentage of male and female intentional homicide victims, Female"	1.9498
Trinidad and Tobago	2005	"Intentional homicide rates per 100,000"	29.7725
Trinidad and Tobago	2005	"Percentage of male and female intentional homicide victims, Male"	53.9453
Trinidad and Tobago	2005	"Percentage of male and female intentional homicide victims, Female"	5.9701
Trinidad and Tobago	2005	"Assault rate per 100,000 population"	61.76
Trinidad and Tobago	2005	"Kidnapping at the national level, rate per 100,000"	4.474
Trinidad and Tobago	2005	"Theft at the national level, rate per 100,000 population"	212.18
Trinidad and Tobago	2005	"Total Sexual Violence at the national level, rate per 100,000"	61.912
Trinidad and Tobago	2010	"Intentional homicide rates per 100,000"	35.6136
Trinidad and Tobago	2010	"Percentage of male and female intentional homicide victims, Male"	63.8703
Trinidad and Tobago	2010	"Percentage of male and female intentional homicide victims, Female"	7.8892
Trinidad and Tobago	2010	"Assault rate per 100,000 population"	46.39
Trinidad and Tobago	2010	"Kidnapping at the national level, rate per 100,000"	0.527
Trinidad and Tobago	2010	"Theft at the national level, rate per 100,000 population"	307.91
Trinidad and Tobago	2010	"Robbery at the national level, rate per 100,000 population"	385.768
Trinidad and Tobago	2010	"Total Sexual Violence at the national level, rate per 100,000"	57.756
Trinidad and Tobago	2015	"Intentional homicide rates per 100,000"	30.6495
Trinidad and Tobago	2015	"Percentage of male and female intentional homicide victims, Male"	57.6937
Trinidad and Tobago	2015	"Percentage of male and female intentional homicide victims, Female"	4.187
Trinidad and Tobago	2015	"Assault rate per 100,000 population"	43.8
Trinidad and Tobago	2015	"Kidnapping at the national level, rate per 100,000"	0.292
Trinidad and Tobago	2015	"Theft at the national level, rate per 100,000 population"	136.5
Trinidad and Tobago	2015	"Robbery at the national level, rate per 100,000 population"	180.219
Trinidad and Tobago	2015	"Total Sexual Violence at the national level, rate per 100,000"	50.73
Tunisia	2005	"Intentional homicide rates per 100,000"	2.5725
Tunisia	2010	"Intentional homicide rates per 100,000"	2.6892
Tunisia	2012	"Intentional homicide rates per 100,000"	3.0608
Turkey	2005	"Intentional homicide rates per 100,000"	4.8672
Turkey	2005	"Percentage of male and female intentional homicide victims, Male"	8.0704
Turkey	2005	"Percentage of male and female intentional homicide victims, Female"	1.7628
Turkey	2005	"Assault rate per 100,000 population"	155.69
Turkey	2005	"Kidnapping at the national level, rate per 100,000"	12.867
Turkey	2005	"Theft at the national level, rate per 100,000 population"	152.8
Turkey	2005	"Total Sexual Violence at the national level, rate per 100,000"	4.448
Turkey	2010	"Intentional homicide rates per 100,000"	4.2363
Turkey	2010	"Percentage of male and female intentional homicide victims, Male"	6.8327
Turkey	2010	"Percentage of male and female intentional homicide victims, Female"	1.7246
Turkey	2010	"Assault rate per 100,000 population"	305.39
Turkey	2010	"Kidnapping at the national level, rate per 100,000"	18.784
Turkey	2010	"Theft at the national level, rate per 100,000 population"	248.3
Turkey	2010	"Robbery at the national level, rate per 100,000 population"	11.864
Turkey	2010	"Total Sexual Violence at the national level, rate per 100,000"	5.788
Turkey	2014	"Assault rate per 100,000 population"	102.82
Turkey	2014	"Kidnapping at the national level, rate per 100,000"	42.669
Turkey	2014	"Theft at the national level, rate per 100,000 population"	277.36
Turkey	2014	"Robbery at the national level, rate per 100,000 population"	55.163
Turkey	2014	"Total Sexual Violence at the national level, rate per 100,000"	53.994
Turkey	2016	"Intentional homicide rates per 100,000"	3.3384
Turkey	2016	"Percentage of male and female intentional homicide victims, Male"	5.6648
Turkey	2016	"Percentage of male and female intentional homicide victims, Female"	1.0811
Turkey	2016	"Assault rate per 100,000 population"	87.56
Turkey	2016	"Theft at the national level, rate per 100,000 population"	212.85
Turkey	2016	"Robbery at the national level, rate per 100,000 population"	33.977
Turkey	2016	"Total Sexual Violence at the national level, rate per 100,000"	42.876
Turkey	2017	"Intentional homicide rates per 100,000"	3.0857
Turkey	2017	"Percentage of male and female intentional homicide victims, Male"	5.2262
Turkey	2017	"Percentage of male and female intentional homicide victims, Female"	1.0055
Turkmenistan	2004	"Intentional homicide rates per 100,000"	4.4436
Turkmenistan	2004	"Kidnapping at the national level, rate per 100,000"	2.7
Turkmenistan	2005	"Intentional homicide rates per 100,000"	4.3326
Turkmenistan	2005	"Assault rate per 100,000 population"	1.89
Turkmenistan	2005	"Theft at the national level, rate per 100,000 population"	34.95
Turkmenistan	2006	"Intentional homicide rates per 100,000"	4.2203
Turkmenistan	2006	"Assault rate per 100,000 population"	1.73
Turkmenistan	2006	"Theft at the national level, rate per 100,000 population"	29.75
Turks and Caicos Islands	2002	"Intentional homicide rates per 100,000"	8.6096
Turks and Caicos Islands	2002	"Percentage of male and female intentional homicide victims, Female"	0
Turks and Caicos Islands	2005	"Intentional homicide rates per 100,000"	0
Turks and Caicos Islands	2009	"Intentional homicide rates per 100,000"	6.2631
Turks and Caicos Islands	2009	"Percentage of male and female intentional homicide victims, Female"	0
Turks and Caicos Islands	2014	"Intentional homicide rates per 100,000"	5.6543
Turks and Caicos Islands	2014	"Percentage of male and female intentional homicide victims, Female"	0
Tuvalu	2005	"Intentional homicide rates per 100,000"	0
Tuvalu	2010	"Intentional homicide rates per 100,000"	9.5048
Tuvalu	2012	"Intentional homicide rates per 100,000"	18.615
Uganda	2005	"Intentional homicide rates per 100,000"	9.0014
Uganda	2005	"Assault rate per 100,000 population"	126.75
Uganda	2005	"Theft at the national level, rate per 100,000 population"	198.88
Uganda	2005	"Total Sexual Violence at the national level, rate per 100,000"	50.934
Uganda	2010	"Intentional homicide rates per 100,000"	9.7446
Uganda	2010	"Percentage of male and female intentional homicide victims, Male"	16.0856
Uganda	2010	"Percentage of male and female intentional homicide victims, Female"	3.6334
Uganda	2010	"Assault rate per 100,000 population"	70.86
Uganda	2010	"Kidnapping at the national level, rate per 100,000"	0.463
Uganda	2010	"Theft at the national level, rate per 100,000 population"	72.25
Uganda	2010	"Robbery at the national level, rate per 100,000 population"	18.58
Uganda	2010	"Total Sexual Violence at the national level, rate per 100,000"	26.659
Uganda	2016	"Intentional homicide rates per 100,000"	11.3041
Uganda	2016	"Percentage of male and female intentional homicide victims, Male"	18.3246
Uganda	2016	"Percentage of male and female intentional homicide victims, Female"	4.5185
Uganda	2016	"Assault rate per 100,000 population"	17.7
Uganda	2016	"Kidnapping at the national level, rate per 100,000"	2.366
Uganda	2016	"Theft at the national level, rate per 100,000 population"	109.75
Uganda	2016	"Robbery at the national level, rate per 100,000 population"	18.303
Uganda	2016	"Total Sexual Violence at the national level, rate per 100,000"	49.303
Uganda	2017	"Intentional homicide rates per 100,000"	11.502
Uganda	2017	"Percentage of male and female intentional homicide victims, Male"	19.2659
Uganda	2017	"Percentage of male and female intentional homicide victims, Female"	3.9869
Uganda	2017	"Assault rate per 100,000 population"	13.92
Uganda	2017	"Robbery at the national level, rate per 100,000 population"	16.64
Ukraine	2005	"Intentional homicide rates per 100,000"	6.4618
Ukraine	2005	"Percentage of male and female intentional homicide victims, Male"	9.5225
Ukraine	2005	"Percentage of male and female intentional homicide victims, Female"	3.8139
Ukraine	2005	"Assault rate per 100,000 population"	14.3
Ukraine	2005	"Kidnapping at the national level, rate per 100,000"	0.38
Ukraine	2005	"Theft at the national level, rate per 100,000 population"	398.07
Ukraine	2005	"Total Sexual Violence at the national level, rate per 100,000"	4.114
Ukraine	2010	"Intentional homicide rates per 100,000"	4.3414
Ukraine	2010	"Percentage of male and female intentional homicide victims, Male"	6.5512
Ukraine	2010	"Percentage of male and female intentional homicide victims, Female"	2.4469
Ukraine	2010	"Assault rate per 100,000 population"	8.8
Ukraine	2010	"Kidnapping at the national level, rate per 100,000"	0.638
Ukraine	2010	"Theft at the national level, rate per 100,000 population"	556.33
Ukraine	2010	"Robbery at the national level, rate per 100,000 population"	50.882
Ukraine	2010	"Total Sexual Violence at the national level, rate per 100,000"	2.944
Ukraine	2017	"Intentional homicide rates per 100,000"	6.1837
Ukraine	2017	"Percentage of male and female intentional homicide victims, Male"	11.1177
Ukraine	2017	"Percentage of male and female intentional homicide victims, Female"	1.9297
Ukraine	2017	"Assault rate per 100,000 population"	3.63
Ukraine	2017	"Kidnapping at the national level, rate per 100,000"	1.25
Ukraine	2017	"Robbery at the national level, rate per 100,000 population"	47.509
Ukraine	2017	"Total Sexual Violence at the national level, rate per 100,000"	1.908
United Arab Emirates	2004	"Intentional homicide rates per 100,000"	0.6636
United Arab Emirates	2004	"Kidnapping at the national level, rate per 100,000"	12.437
United Arab Emirates	2004	"Theft at the national level, rate per 100,000 population"	271.25
United Arab Emirates	2005	"Intentional homicide rates per 100,000"	1.2205
United Arab Emirates	2005	"Assault rate per 100,000 population"	15.63
United Arab Emirates	2005	"Kidnapping at the national level, rate per 100,000"	18.787
United Arab Emirates	2006	"Intentional homicide rates per 100,000"	0.7358
United Arab Emirates	2006	"Assault rate per 100,000 population"	14.3
United Arab Emirates	2006	"Kidnapping at the national level, rate per 100,000"	18.32
United Arab Emirates	2010	"Intentional homicide rates per 100,000"	0.7836
United Arab Emirates	2010	"Percentage of male and female intentional homicide victims, Male"	0.7669
United Arab Emirates	2010	"Percentage of male and female intentional homicide victims, Female"	0.8332
United Arab Emirates	2015	"Intentional homicide rates per 100,000"	0.6477
United Arab Emirates	2015	"Percentage of male and female intentional homicide victims, Male"	0.7696
United Arab Emirates	2015	"Percentage of male and female intentional homicide victims, Female"	0.3581
United Arab Emirates	2015	"Assault rate per 100,000 population"	3.45
United Arab Emirates	2015	"Kidnapping at the national level, rate per 100,000"	0.885
United Arab Emirates	2015	"Theft at the national level, rate per 100,000 population"	67.05
United Arab Emirates	2015	"Robbery at the national level, rate per 100,000 population"	8.917
United Arab Emirates	2015	"Total Sexual Violence at the national level, rate per 100,000"	4.081
United Arab Emirates	2016	"Intentional homicide rates per 100,000"	0.7051
United Arab Emirates	2016	"Assault rate per 100,000 population"	3.72
United Arab Emirates	2016	"Kidnapping at the national level, rate per 100,000"	0.78
United Arab Emirates	2016	"Theft at the national level, rate per 100,000 population"	51.31
United Arab Emirates	2016	"Robbery at the national level, rate per 100,000 population"	10.982
United Arab Emirates	2016	"Total Sexual Violence at the national level, rate per 100,000"	4.754
United Arab Emirates	2017	"Intentional homicide rates per 100,000"	0.4638
